PERMNO,date,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,VOL,BID,ASK,SHROUT,CFACPR
84415,20000929,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,7.87500,9.12500,8.31250,3792,8.06250,8.43750,7000,0.25
84415,20001031,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,5.62500,8.37500,5.62500,6116,5.50000,6.06250,7000,0.25
84415,20001130,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,5.87500,7.75000,7.50000,10556,7.25000,7.50000,7000,0.25
84415,20001229,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,7.06250,8.50000,7.25000,8695,6.75000,7.18750,7000,0.25
84415,20010131,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.87500,8.37500,8.12500,4841,8.06250,8.18750,7000,0.25
84415,20010228,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,7.37500,8.68750,7.37500,2384,7.37500,7.81250,7000,0.25
84415,20010330,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,5.00000,7.56250,5.03125,2800,5.00000,5.18750,7000,0.25
84415,20010430,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,4.45000,5.09375,4.95000,2122,4.71000,4.95000,7000,0.25
84415,20010531,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,4.50000,5.50000,4.50000,2275,4.51000,4.55000,7000,0.25
84415,20010629,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,3.87000,4.55000,3.91000,1824,3.88000,3.99000,7000,0.25
84415,20010731,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.86000,4.18000,2.86000,3142,2.80000,3.00000,7000,0.25
84415,20010831,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.05000,2.95000,2.25000,3641,2.15000,2.25000,7000,0.25
84415,20010928,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.25000,3.10000,3.10000,1881,2.90000,3.10000,7000,0.25
84415,20011031,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.21000,3.00000,2.25000,1416,2.13000,2.25000,7000,0.25
84415,20011130,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.05000,2.75000,2.75000,2311,2.65000,2.75000,7000,0.25
84415,20011231,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.75000,3.80000,3.80000,5513,3.75000,3.86000,9985,0.25
84415,20020131,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,3.80000,4.15000,3.86000,2725,3.85000,4.00000,9985,0.25
84415,20020228,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,3.50000,4.05000,3.91000,696,3.91000,4.00000,9985,0.25
84415,20020328,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,-3.76000,4.03000,3.83000,694,3.83000,3.90000,10018,0.25
84415,20020430,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,3.41000,4.00000,-3.58500,522,3.40000,3.77000,10018,0.25
84415,20020531,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,3.15000,3.73000,3.15000,1362,3.15000,3.42000,10018,0.25
