PERMNO,date,TICKER,COMNAM,CUSIP,PRC,VOL
84415,20000901,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,8.75000,6000
84415,20000905,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,8.68750,24124
84415,20000906,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,8.50000,23782
84415,20000907,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,8.37500,14870
84415,20000908,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,8.62500,15600
84415,20000911,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,8.37500,23365
84415,20000912,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,8.62500,18590
84415,20000913,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,8.50000,23500
84415,20000914,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,9.03125,75671
84415,20000915,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,9.12500,19924
84415,20000918,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,8.68750,19230
84415,20000919,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,8.62500,7750
84415,20000920,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,9.00000,11600
84415,20000921,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,8.87500,9016
84415,20000922,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,8.75000,8998
84415,20000925,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,8.25000,5630
84415,20000926,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,8.06250,12300
84415,20000927,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,7.87500,7570
84415,20000928,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,8.37500,35710
84415,20000929,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,8.31250,15970
84415,20001002,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,8.37500,8100
84415,20001003,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,8.25000,11820
84415,20001004,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,8.00000,18300
84415,20001005,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,7.75000,27079
84415,20001006,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,7.50000,11850
84415,20001009,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,7.50000,6500
84415,20001010,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,7.37500,31155
84415,20001011,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,7.12500,95009
84415,20001012,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.43750,88291
84415,20001013,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.50000,33015
84415,20001016,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.25000,34339
84415,20001017,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.18750,16802
84415,20001018,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.25000,31987
84415,20001019,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.25000,20623
84415,20001020,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,7.00000,41765
84415,20001023,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.68750,24100
84415,20001024,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.75000,19255
84415,20001025,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.25000,8995
84415,20001026,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,5.75000,36431
84415,20001027,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.06250,15800
84415,20001030,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,5.75000,20150
84415,20001031,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,5.62500,10200
84415,20001101,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,5.87500,9682
84415,20001102,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.43750,10177
84415,20001103,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.56250,18677
84415,20001106,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.50000,10295
84415,20001107,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.12500,15642
84415,20001108,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.12500,6400
84415,20001109,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.00000,3400
84415,20001110,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,5.87500,8800
84415,20001113,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.43750,271378
84415,20001114,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.75000,44777
84415,20001115,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.12500,17390
84415,20001116,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.62500,89726
84415,20001117,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.93750,18355
84415,20001120,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,7.00000,58460
84415,20001121,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,7.12500,33100
84415,20001122,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,6.62500,54209
