,age,job,marital,education,default,balance,housing,loan
3610,42,1,1,0,0,2519,1,0
11677,37,9,1,1,0,2209,0,0
33018,32,0,1,1,0,923,1,0
44323,53,1,1,0,0,306,0,0
8119,32,9,2,2,0,257,1,0
38958,28,0,2,1,0,-36,1,0
18496,41,10,1,1,0,0,0,0
4249,36,0,2,1,0,3457,0,0
2214,44,1,1,1,0,236,1,0
28848,28,1,2,1,0,1285,0,0
8162,35,1,2,1,0,-41,1,0
42597,50,2,0,2,0,315,0,0
26974,31,7,1,1,0,0,0,1
17717,55,5,1,1,0,1467,0,1
29859,31,2,2,2,0,1957,0,0
835,44,9,0,1,0,-329,1,0
37335,36,4,2,2,0,1,1,0
30641,70,4,1,2,0,5563,0,0
11169,37,1,0,1,1,-689,0,0
39188,30,9,2,1,0,778,1,0
1899,49,3,0,0,0,164,1,0
18117,35,10,2,1,0,0,0,0
26220,37,4,2,2,0,2875,0,0
25406,32,4,1,1,0,1477,1,0
12886,44,9,0,1,0,0,1,0
41072,63,9,1,1,0,896,1,0
44923,31,9,1,1,0,439,0,0
37751,29,4,1,1,0,231,0,0
40556,38,2,0,2,0,7929,0,0
24446,53,4,0,2,0,5187,0,1
42490,30,9,2,2,0,1070,0,0
6981,30,7,1,1,0,179,1,0
33129,32,9,1,1,0,286,0,0
1145,35,7,1,1,0,630,1,0
6294,28,8,2,2,0,737,1,0
24784,39,1,1,1,0,263,1,0
15064,56,1,1,0,0,0,1,0
41793,32,9,1,2,0,2688,0,0
44871,37,1,2,3,0,217,0,0
6830,29,0,2,3,0,175,0,0
7234,51,1,0,3,0,10287,1,0
36388,38,1,1,1,0,422,1,0
4921,40,1,2,1,0,1066,1,0
39917,34,0,2,1,0,4447,1,0
23264,48,9,0,2,0,2328,0,0
8930,29,1,1,3,0,356,1,0
43307,60,5,1,1,0,8332,0,0
37872,43,7,1,0,0,2567,1,0
16630,30,9,1,1,0,13,1,1
3310,56,5,1,1,0,1678,1,0
992,38,1,2,1,0,-1,1,0
43783,28,8,2,1,0,1925,0,0
30861,45,4,1,1,0,1134,0,1
4738,56,7,1,1,0,530,1,0
32710,32,1,2,1,0,1415,1,0
9232,36,1,0,1,0,-11,0,0
44566,34,7,1,1,0,-52,0,0
16415,55,5,0,2,0,-458,1,0
14849,40,9,1,1,0,6,1,0
24239,48,0,0,1,0,295,1,0
