,age,job,marital,education,default,balance,housing,loan
22089,51,4,1,2,0,-3,0,0
15447,53,1,1,0,0,225,0,0
42894,63,3,1,1,0,2,0,0
13698,42,9,1,1,0,2030,1,1
38054,38,6,2,1,0,677,1,0
38809,31,0,0,1,0,11,1,0
28819,38,4,1,2,0,-70,1,0
42201,48,10,0,1,0,201,0,0
27875,46,4,0,2,0,194,0,0
31934,32,1,1,1,0,759,1,0
36884,33,7,1,1,0,204,1,1
23486,34,4,2,2,0,1070,0,0
914,57,6,1,0,0,1013,1,0
9444,40,4,1,2,0,406,0,0
6523,44,1,1,0,0,1432,1,1
30916,31,9,2,1,0,2088,0,0
13230,37,1,0,1,0,277,0,1
29254,52,7,1,1,0,416,1,0
7593,39,4,1,1,0,1034,1,0
6089,35,10,1,2,0,226,0,0
40581,57,5,0,1,0,1486,0,0
24735,50,9,1,1,0,0,1,1
29969,51,1,1,0,0,362,1,0
24850,33,9,2,1,0,1769,1,0
30939,29,9,2,1,0,28,0,0
787,46,4,1,2,0,0,0,0
5713,53,4,1,1,0,1925,1,0
34504,57,5,0,2,0,0,1,0
11811,46,3,1,0,0,296,1,0
38959,28,7,2,1,0,290,1,0
24014,49,4,1,2,0,0,0,0
10148,40,0,0,1,0,6,0,0
35583,24,9,2,1,0,-540,1,0
23433,38,9,1,1,0,0,0,0
35469,46,1,1,1,0,4646,1,0
2230,35,0,2,1,0,855,1,0
35301,25,8,2,1,0,520,1,0
40233,60,4,1,1,0,544,0,0
15649,35,9,0,3,0,244,0,0
35578,57,9,1,1,0,3071,1,1
35285,21,9,2,1,0,64,1,0
15000,37,9,1,1,0,1142,1,0
1636,30,1,1,0,0,265,1,1
3877,32,1,2,1,0,29,0,0
40805,55,9,0,1,0,3450,0,0
8333,39,7,0,1,0,-718,1,0
39157,44,9,2,1,0,59,1,0
10207,41,11,2,3,0,1259,0,0
14233,59,9,1,1,0,1139,0,0
28030,55,10,1,0,0,8585,0,0
26617,58,5,1,2,0,5087,0,0
38104,39,1,1,1,0,164,1,0
33028,33,9,2,2,0,1190,1,0
12126,44,0,1,1,0,961,0,0
36300,28,2,1,2,0,4064,0,1
22583,37,9,1,2,0,2043,0,0
30126,48,0,0,1,0,955,1,0
29242,29,4,2,2,0,642,0,0
4364,52,7,1,3,0,337,1,0
21459,58,0,1,1,0,451,0,0
7357,45,1,1,0,0,19,1,0
3019,43,1,1,1,0,1311,1,0
6318,49,9,1,1,0,-353,1,1
10737,42,4,1,1,0,2580,1,0
41744,79,5,0,0,0,79,0,0
41808,39,3,1,2,0,93,0,0
2060,25,8,1,2,0,333,1,0
13342,34,1,1,0,0,567,0,1
11395,41,6,2,3,0,426,1,0
25935,41,4,1,2,0,217,0,0
4923,32,1,2,0,0,557,1,0
1311,35,9,2,1,0,365,1,0
39212,33,1,1,1,0,139,1,1
35775,29,9,1,1,0,1599,1,0
24106,59,4,0,2,0,258,1,0
1776,34,4,2,2,0,318,1,0
1398,35,1,1,1,0,-339,1,0
24328,50,4,1,2,0,4,1,1
35842,32,1,1,0,0,0,1,1
22924,34,8,2,2,0,1322,0,0
18952,52,4,1,2,0,809,0,0
9069,37,4,2,2,0,240,0,0
32595,24,8,2,1,0,372,1,0
1851,41,1,2,1,0,184,1,0
17333,27,1,2,1,0,103,0,1
23497,32,4,2,2,0,36,0,0
16705,33,1,1,1,0,0,1,0
29873,43,4,1,2,0,-194,0,0
13356,56,9,1,1,0,61,0,1
12773,57,0,1,1,0,1143,0,0
1859,36,1,1,1,0,590,1,0
42492,64,3,1,0,0,67,0,0
42010,34,0,2,2,0,18,1,1
32631,36,2,1,1,0,302,1,0
9629,52,3,2,2,0,0,0,0
14185,35,7,1,2,0,260,1,0
12034,58,7,1,1,0,0,0,0
43701,27,1,2,1,0,535,0,0
31751,51,1,1,1,0,984,1,0
8609,57,9,0,1,0,910,1,0
20582,42,6,1,1,0,487,1,0
10713,49,1,1,3,0,3096,0,0
18569,49,9,1,1,0,133,0,0
10264,47,4,2,2,0,0,0,0
17085,56,4,1,2,0,6475,0,0
600,38,1,1,1,0,384,1,0
19160,39,4,1,2,0,13021,0,0
5558,35,9,2,2,0,1529,0,0
13768,31,4,1,2,0,181,1,0
42626,25,9,2,1,0,4859,0,0
41660,35,9,0,1,0,2047,1,0
5226,54,1,0,1,0,462,1,0
36448,28,1,2,1,0,4054,1,0
34172,40,4,1,2,0,158,0,0
19409,45,5,1,1,0,22,0,1
40653,61,4,1,2,0,175,0,0
29513,64,5,1,1,0,1176,0,0
37028,32,4,2,2,0,7444,1,1
27257,35,4,1,2,0,0,1,0
42776,29,4,2,2,0,187,1,0
10694,37,1,2,1,0,3764,0,0
13612,49,3,1,0,0,0,0,0
22188,47,4,1,2,0,509,0,1
34804,21,7,2,1,0,3033,1,0
26667,37,9,1,1,0,1016,1,1
15747,43,0,1,1,0,1625,1,1
27670,57,7,0,1,0,4664,0,0
43295,42,0,1,1,0,16517,0,0
5799,58,9,0,1,0,0,1,0
28085,46,0,1,1,0,1264,0,0
42801,46,0,1,1,0,179,1,0
21765,44,4,1,1,0,238,0,0
1276,36,2,1,3,0,298,1,0
22962,33,9,1,2,0,-370,1,0
14276,33,1,2,1,0,179,0,0
21740,52,9,1,1,0,-240,0,0
16594,38,4,2,2,0,0,0,0
1903,27,6,2,2,0,-503,1,0
8662,38,1,1,0,0,635,1,0
31075,42,4,0,3,0,7702,0,0
23627,31,3,1,2,0,0,0,0
22008,47,7,1,1,0,1717,0,0
20492,47,10,1,2,0,0,0,0
11482,55,10,2,0,0,10183,0,0
7989,53,1,1,0,0,256,1,0
25081,31,1,1,1,0,5345,1,0
39763,25,9,2,1,0,1199,0,0
23842,51,0,1,1,0,255,0,0
24520,44,10,1,1,0,0,1,0
18075,37,1,1,0,0,11,0,0
28006,47,1,1,0,0,1236,0,0
27774,30,4,2,2,0,464,0,0
17176,32,7,1,1,0,0,1,0
23630,33,4,2,2,0,0,0,0
15234,53,0,2,0,0,0,1,0
6829,39,10,2,1,0,-53,1,0
43280,27,4,2,2,0,948,1,0
19046,46,4,0,2,0,3,1,1
43563,54,0,1,3,0,140,0,0
27906,52,3,0,0,0,337,0,0
22206,31,9,1,1,0,28,0,0
9538,60,3,1,3,0,10285,0,0
13219,47,9,1,1,0,0,1,0
20549,34,9,2,2,0,23919,0,0
3964,39,7,2,1,0,-388,1,0
4860,41,9,1,1,0,2490,1,0
18341,33,6,1,1,0,0,1,0
21923,51,1,1,1,0,51,0,1
40874,36,0,1,2,0,29,0,0
32120,41,7,1,1,0,1836,1,1
6643,30,9,2,1,0,1692,1,1
13823,33,9,1,2,0,1746,1,0
26582,34,4,2,2,0,3035,0,0
39568,45,10,1,1,0,1040,0,0
35818,52,7,1,1,0,774,1,0
11878,55,11,1,0,0,2074,0,0
16698,47,6,1,2,0,751,0,0
38839,32,4,1,2,0,477,1,0
35466,35,1,2,1,0,142,1,0
21653,40,11,1,2,0,119,0,0
28615,44,7,1,1,0,133,0,0
38090,36,7,2,1,0,568,1,0
23392,36,7,1,1,0,84,0,0
13989,44,1,1,0,0,6,0,0
32963,29,7,2,1,0,229,1,0
24652,54,0,1,3,0,217,0,0
29176,42,1,1,0,0,1455,1,0
36991,54,5,0,2,0,185,1,0
15190,35,7,1,1,0,-138,1,0
5033,32,1,1,1,0,564,1,0
10068,48,9,1,1,0,1637,1,0
12020,39,9,1,1,0,2765,1,1
1033,39,1,1,0,0,867,1,0
41736,34,4,2,2,0,1730,1,0
22248,37,4,1,2,0,21,0,0
38657,35,6,1,1,0,-56,1,0
17757,40,4,0,2,0,390,0,0
20553,58,4,0,2,0,108,0,0
40997,21,4,2,1,0,691,0,0
11738,52,3,0,0,0,1697,0,0
42956,25,8,2,1,0,125,0,0
26547,33,1,1,1,0,3605,1,0
11102,28,1,1,1,0,-493,1,0
16149,38,0,2,1,0,-327,0,0
24237,32,4,1,2,0,2516,0,0
15374,51,1,1,1,0,145,0,1
31309,57,4,1,2,0,2681,0,0
32903,30,9,1,1,0,-280,1,0
10292,40,2,1,1,0,2252,0,0
242,38,0,1,1,0,0,0,0
19759,44,9,1,1,0,326,1,0
26173,44,3,2,1,0,299,0,0
30382,27,4,1,2,0,312,0,0
10532,30,7,2,2,0,44,0,0
15021,49,9,1,2,0,80,0,0
31854,37,7,2,1,0,248,1,0
18447,30,7,1,1,0,48,1,0
44288,48,4,1,2,0,612,0,0
29879,42,0,2,1,0,30,1,0
16050,30,2,2,2,0,676,0,1
