"","x"
"1",0
"2",0
"3",0
"4",4
"5",0
"6",1
"7",4
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",1
"15",0
"16",1
"17",0
"18",4
"19",0
"20",1
"21",0
"22",0
"23",0
"24",4
"25",0
"26",1
"27",1
"28",0
"29",0
"30",1
"31",1
"32",0
"33",0
"34",0
"35",0
"36",4
"37",0
"38",0
"39",0
"40",0
"41",0
"42",4
"43",0
"44",0
"45",1
"46",4
"47",0
"48",1
"49",0
"50",0
"51",0
"52",4
"53",1
"54",0
"55",1
"56",0
"57",0
"58",0
"59",0
"60",4
"61",0
"62",0
"63",4
"64",0
"65",0
"66",4
"67",1
"68",0
"69",0
"70",4
"71",0
"72",4
"73",1
"74",4
"75",1
"76",0
"77",1
"78",0
"79",4
"80",1
"81",0
"82",0
"83",1
"84",0
"85",0
"86",1
"87",0
"88",0
"89",0
"90",0
"91",0
"92",1
"93",0
"94",4
"95",1
"96",4
"97",1
"98",1
"99",4
"100",1
"101",0
"102",1
"103",4
"104",4
"105",0
"106",4
"107",4
"108",0
"109",4
"110",0
"111",4
"112",0
"113",1
"114",0
"115",0
"116",1
"117",1
"118",0
"119",1
"120",1
"121",1
"122",0
"123",4
"124",1
"125",0
"126",0
"127",0
"128",4
"129",1
"130",1
"131",4
"132",1
"133",4
"134",1
"135",0
"136",4
"137",1
"138",0
"139",0
"140",0
"141",1
"142",1
"143",0
"144",0
"145",1
"146",1
"147",0
"148",0
"149",0
"150",1
"151",0
"152",0
"153",1
"154",1
"155",0
"156",0
"157",0
"158",1
"159",1
"160",0
"161",1
"162",0
"163",1
"164",0
"165",1
"166",0
"167",1
"168",1
"169",0
"170",0
"171",0
"172",1
"173",1
"174",0
"175",1
"176",1
"177",0
"178",0
"179",1
"180",0
"181",0
"182",1
"183",1
"184",0
"185",0
"186",4
"187",1
"188",0
"189",0
"190",1
"191",0
"192",1
"193",0
"194",0
"195",0
"196",1
"197",0
"198",0
"199",1
"200",1
"201",1
"202",0
"203",0
"204",0
"205",1
"206",1
"207",0
"208",0
"209",4
"210",0
"211",0
"212",0
"213",0
"214",0
"215",1
"216",4
"217",0
"218",0
"219",0
"220",4
"221",4
"222",4
"223",0
"224",1
